ParticipantID,Condition,Nametag,Intro,Pronoun_Pair,T_Pronoun,C_Pronoun,T_ID,TrialID,Transcription,He,His,She,Her,They,Their,Disfluency,MultiplePronouns,PronounProduced,Accuracy
3_043,nametag,1,0,T_HS,they,he,18,nametag_list6_critical26_they,Jordan gave the onion to their brother.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,he,18,nametag_list6_critical27_they,Jordan gave the watermelon to their brother.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,he,18,nametag_list6_critical28_they,Jordan gave the tableknife to their sister.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,he,18,nametag_list6_critical29_they,Jordan gave the cookie to their brother.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,he,18,nametag_list6_critical30_they,Jordan gave the tomato to their sister.,0,0,0,0,0,1,0,0,their,1
3_044,nametag,1,0,HS_HS,he,she,13,nametag_list5_critical01_he,Casey gave the chocolate to his brother.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_HS,he,she,13,nametag_list5_critical02_he,Casey gave the cherries to his sister.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_HS,he,she,13,nametag_list5_critical03_he,Casey gave the avocado to his sister.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_HS,he,she,13,nametag_list5_critical04_he,Casey gave the pumpkin to his brother.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_HS,he,she,13,nametag_list5_critical05_he,Casey gave the bread to his sister.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_T,he,they,13,nametag_list5_critical06_he,Casey gave the corn to his brother.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_T,he,they,13,nametag_list5_critical07_he,Casey gave the kiwi to his brother.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_T,he,they,13,nametag_list5_critical08_he,Casey gave the grapes to his sister.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_T,he,they,13,nametag_list5_critical09_he,Casey gave the pear to his sister.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_T,he,they,13,nametag_list5_critical10_he,Casey gave the orange juice to his brother.,0,1,0,0,0,0,0,0,his,1
3_044,nametag,1,0,HS_HS,she,he,14,nametag_list5_critical11_she,Jaime gave the spoon to her sister.,0,0,0,1,0,0,0,0,her,1
3_044,nametag,1,0,HS_HS,she,he,14,nametag_list5_critical12_she,Jaime gave the broccoli to her brother.,0,0,0,1,0,0,0,0,her,1
3_044,nametag,1,0,HS_HS,she,he,14,nametag_list5_critical13_she,Jaime gave the egg to her brother.,0,0,0,1,0,0,0,0,her,1
3_044,nametag,1,0,HS_HS,she,he,14,nametag_list5_critical14_she,Jaime gave their strawberry to their her sister.,0,0,0,1,0,1,1,1,her,1
3_044,nametag,1,0,HS_HS,she,he,14,nametag_list5_critical15_she,Jaime gave the pineapple to her brother.,0,0,0,1,0,0,0,0,her,1
3_044,nametag,1,0,HS_T,she,they,14,nametag_list5_critical16_she,Jaime gave the banana to her sister.,0,0,0,1,0,0,0,0,her,1
